rank,player,average,year
1.0,John McComish,283.9,1987
2.0,Davis Love III,281.5,1987
3.0,Joey Sindelar,280.3,1987
4.0,Greg Norman,278.2,1987
4.0,Mac O'Grady,278.2,1987
6.0,Fred Couples,276.8,1987
7.0,Jay Don Blake,275.2,1987
8.0,Bill Glasson,275.1,1987
9.0,Brad Greer,274.3,1987
10.0,Craig Stadler,274.0,1987
11.0,Bill Sander,273.7,1987
12.0,Phil Blackmar,273.5,1987
13.0,Jodie Mudd,273.3,1987
14.0,Mark Calcavecchia,273.1,1987
15.0,Dan Pohl,273.0,1987
16.0,Curt Byrum,272.8,1987
17.0,Dan Forsman,272.4,1987
18.0,Kenny Perry,271.8,1987
19.0,Sam Randolph,271.6,1987
20.0,Denny Hepler,271.2,1987
21.0,Lon Hinkle,270.8,1987
22.0,Steve Pate,270.7,1987
23.0,Russ Cochran,270.5,1987
24.0,"Jim Gallagher, Jr.",270.1,1987
25.0,Payne Stewart,269.9,1987
26.0,Andy Bean,269.8,1987
27.0,Ted Schulz,269.7,1987
28.0,Tom Watson,269.6,1987
29.0,Paul Azinger,269.5,1987
29.0,Dave Rummells,269.5,1987
31.0,Trevor Dodds,269.4,1987
32.0,Rick Dalpos,269.1,1987
32.0,Duffy Waldorf,269.1,1987
34.0,Tom Purtzer,269.0,1987
35.0,Jim Carter,268.9,1987
35.0,Andrew Magee,268.9,1987
37.0,John Adams,268.8,1987
38.0,Clarence Rose,268.3,1987
38.0,Tom Sieckmann,268.3,1987
40.0,Ernie Gonzalez,268.2,1987
41.0,Steve Jones,267.9,1987
42.0,Jay Delsing,267.7,1987
42.0,Rocco Mediate,267.7,1987
44.0,George Burns,267.5,1987
45.0,Mark McCumber,267.1,1987
46.0,Donnie Hammond,267.0,1987
46.0,Sandy Lyle,267.0,1987
48.0,Ken Green,266.8,1987
49.0,Bobby Wadkins,266.6,1987
50.0,Jeff Lewis,266.5,1987
51.0,Dewey Arnette,266.4,1987
51.0,Perry Arthur,266.4,1987
51.0,Blaine McCallister,266.4,1987
54.0,Ed Dougherty,266.3,1987
55.0,John Riegger,266.2,1987
56.0,"Don Shirey, Jr.",266.1,1987
57.0,Gil Morgan,265.5,1987
58.0,Dave Eichelberger,265.4,1987
58.0,Mike Hulbert,265.4,1987
58.0,Ray Stewart,265.4,1987
61.0,Gary Hallberg,265.3,1987
61.0,Mike Sullivan,265.3,1987
63.0,Ronnie Black,265.2,1987
63.0,Denis Watson,265.2,1987
65.0,John Horne,264.9,1987
66.0,Bruce Lietzke,264.8,1987
67.0,David Graham,264.7,1987
68.0,Brad Faxon,264.6,1987
68.0,John Mahaffey,264.6,1987
70.0,Dave Barr,264.4,1987
71.0,Bobby Clampett,264.2,1987
71.0,Nick Price,264.2,1987
71.0,Bob Tway,264.2,1987
74.0,Buddy Gardner,264.1,1987
74.0,Ted Lehmann,264.1,1987
76.0,Larry Rinker,263.9,1987
76.0,Hal Sutton,263.9,1987
78.0,Tony Grimes,263.8,1987
79.0,Gene Sauers,263.6,1987
79.0,Scott Verplank,263.6,1987
81.0,Roger Maltbie,263.4,1987
81.0,Fuzzy Zoeller,263.4,1987
83.0,Bruce Soulsby,263.2,1987
84.0,Andy Dillard,263.1,1987
84.0,Fred Wadsworth,263.1,1987
86.0,Ben Crenshaw,263.0,1987
87.0,Chip Beck,262.6,1987
87.0,Keith Clearwater,262.6,1987
87.0,Jeff Sluman,262.6,1987
90.0,Bob Gilder,262.4,1987
90.0,Mike Smith,262.4,1987
92.0,David Peoples,262.3,1987
,Tour Average,262.0,1987
93.0,Bobby Cole,262.0,1987
94.0,Peter Jacobsen,261.9,1987
95.0,Mark Hayes,261.7,1987
96.0,Andy North,261.6,1987
96.0,J.C. Snead,261.6,1987
98.0,Steve Elkington,261.5,1987
99.0,Scott Hoch,261.4,1987
99.0,Barry Jaeckel,261.4,1987
99.0,Jim Thorpe,261.4,1987
102.0,Rex Caldwell,261.3,1987
102.0,Mike Nicolette,261.3,1987
104.0,Tim Simpson,261.0,1987
105.0,Frank Conner,260.9,1987
106.0,Robert Wrenn,260.7,1987
107.0,Mike McCullough,260.6,1987
107.0,Aki Ohmachi,260.6,1987
107.0,Curtis Strange,260.6,1987
110.0,Mike Donald,260.5,1987
111.0,Bernhard Langer,260.3,1987
111.0,Mark O'Meara,260.3,1987
111.0,Billy Pierot,260.3,1987
114.0,Bob Eastwood,260.2,1987
114.0,Gary Krueger,260.2,1987
116.0,Billy Kratzert,260.1,1987
117.0,Doug Tewell,260.0,1987
118.0,Dick Mast,259.9,1987
118.0,Howard Twitty,259.9,1987
118.0,Mark Wiebe,259.9,1987
121.0,Mike Bender,259.7,1987
122.0,T.C. Chen,259.5,1987
123.0,David Frost,259.2,1987
124.0,Raymond Floyd,259.1,1987
125.0,Larry Nelson,259.0,1987
126.0,Tony Sills,258.9,1987
126.0,Leonard Thompson,258.9,1987
128.0,Larry Mize,258.8,1987
129.0,Wayne Levi,258.5,1987
130.0,Bill Britton,258.4,1987
131.0,Brian Claar,258.3,1987
132.0,Dan Halldorson,258.1,1987
132.0,Chris Perry,258.1,1987
134.0,Antonio Cerda,257.7,1987
134.0,Danny Edwards,257.7,1987
134.0,Jay Haas,257.7,1987
134.0,Gary Koch,257.7,1987
134.0,Jim Nelford,257.7,1987
139.0,Charles Bolling,257.6,1987
139.0,Ron Streck,257.6,1987
141.0,Kenny Knox,257.5,1987
142.0,Harry Taylor,257.3,1987
143.0,Bob Lohr,257.1,1987
144.0,Brad Fabel,256.9,1987
145.0,Mark Lye,256.8,1987
145.0,Willie Wood,256.8,1987
147.0,David Ogrin,256.7,1987
148.0,D.A. Weibring,256.5,1987
149.0,Ken Brown,256.3,1987
150.0,Richard Zokol,256.1,1987
151.0,Vance Heafner,256.0,1987
151.0,Don Pooley,256.0,1987
153.0,"Ray Barr, Jr.",255.9,1987
154.0,Hale Irwin,255.3,1987
155.0,Philip Jonas,255.2,1987
156.0,Tom Byrum,255.1,1987
156.0,Tom Kite,255.1,1987
158.0,David Canipe,255.0,1987
159.0,Rick Fehr,254.9,1987
159.0,David Hobby,254.9,1987
161.0,Mark Brooks,254.7,1987
161.0,Brett Upper,254.7,1987
163.0,Lennie Clements,254.4,1987
163.0,Pat McGowan,254.4,1987
165.0,John Inman,254.3,1987
166.0,Doug Johnson,254.0,1987
167.0,Woody Blackburn,253.9,1987
168.0,John Cook,253.5,1987
169.0,Bill Rogers,253.4,1987
170.0,Loren Roberts,253.3,1987
170.0,Robert Thompson,253.3,1987
170.0,Lanny Wadkins,253.3,1987
173.0,David Edwards,253.0,1987
174.0,Ed Fiori,252.9,1987
175.0,Jim Wilson,252.3,1987
176.0,Mark Pfeil,252.2,1987
177.0,Tim Norris,250.9,1987
177.0,Scott Simpson,250.9,1987
179.0,Corey Pavin,250.3,1987
180.0,Tom Garner,249.9,1987
181.0,Calvin Peete,249.6,1987
182.0,Morris Hatalsky,248.7,1987
183.0,Jim Simons,248.6,1987
184.0,Jack Renner,248.2,1987
185.0,Mike Reid,247.9,1987
186.0,Hubert Green,246.0,1987
187.0,Dave Stockton,244.6,1987
188.0,Bob Murphy,244.2,1987
1.0,Steve Thomas,284.6,1988
2.0,Craig Stadler,279.5,1988
3.0,Greg Norman,279.4,1988
4.0,Bill Glasson,278.4,1988
5.0,Dan Pohl,277.9,1988
6.0,Davis Love III,276.4,1988
7.0,John Adams,276.1,1988
8.0,Kenny Perry,275.6,1988
8.0,Duffy Waldorf,275.6,1988
10.0,Mark Calcavecchia,275.5,1988
11.0,Bill Sander,275.0,1988
11.0,Tom Sieckmann,275.0,1988
13.0,Mac O'Grady,274.8,1988
14.0,Tommy Armour III,274.0,1988
15.0,Joey Sindelar,273.7,1988
16.0,Sandy Lyle,273.5,1988
17.0,Tom Purtzer,273.4,1988
18.0,Curt Byrum,273.2,1988
19.0,Barry Cheesman,273.0,1988
20.0,Dan Forsman,272.9,1988
21.0,Jodie Mudd,272.8,1988
22.0,Andy Bean,272.6,1988
22.0,Fred Couples,272.6,1988
24.0,"Jim Gallagher, Jr.",272.1,1988
24.0,Tom Watson,272.1,1988
26.0,Greg Ladehoff,271.9,1988
27.0,Ken Green,271.3,1988
27.0,Steve Jones,271.3,1988
29.0,Phil Blackmar,271.2,1988
30.0,Payne Stewart,270.9,1988
31.0,Sam Randolph,270.8,1988
32.0,Gil Morgan,270.4,1988
33.0,Brad Bryant,270.2,1988
34.0,Chip Beck,270.1,1988
34.0,Bob Gilder,270.1,1988
34.0,Steve Pate,270.1,1988
34.0,Dave Rummells,270.1,1988
38.0,Donnie Hammond,269.7,1988
39.0,Gene Sauers,269.4,1988
40.0,Jay Delsing,269.2,1988
41.0,John Huston,269.1,1988
41.0,Ray Stewart,269.1,1988
43.0,Andrew Magee,268.8,1988
44.0,John Mahaffey,268.7,1988
45.0,Bob Tway,268.5,1988
46.0,Mark McCumber,268.4,1988
47.0,Mike Hulbert,268.0,1988
48.0,Paul Trittler,267.8,1988
49.0,Robert Wrenn,267.7,1988
50.0,Bobby Wadkins,267.6,1988
