player,year,par_4_avg,par_5_avg,drive_avg,weight,DOB,height_inches,age
Payne Stewart,1987,3.98,4.65,269.9,,,0,
Dan Pohl,1987,3.98,4.63,273.0,,,0,
Lanny Wadkins,1987,3.97,4.74,253.3,,,0,
Paul Azinger,1987,3.98,4.63,269.5,,,0,
David Frost,1987,3.98,4.64,259.2,,,0,
Bernhard Langer,1987,3.98,4.69,260.3,160.0,,69,
Curtis Strange,1987,3.99,4.73,260.6,,,0,
Hal Sutton,1987,3.99,4.67,263.9,,,0,
Scott Hoch,1987,4.0,4.69,261.4,,,0,
Mark O'Meara,1987,4.0,4.74,260.3,,,0,
Steve Pate,1987,4.0,4.69,270.7,,,0,
Craig Stadler,1987,4.0,4.67,274.0,,,0,
Tom Kite,1987,4.0,4.63,255.1,,,0,
Fred Couples,1987,4.0,4.64,276.8,185.0,2059-10-03,71,-72.0
Tom Watson,1987,4.01,4.67,269.6,,,0,
Ben Crenshaw,1987,4.01,4.7,263.0,,,0,
Gil Morgan,1987,4.02,4.76,265.5,,,0,
Greg Norman,1987,4.02,4.66,278.2,,,0,
Bobby Wadkins,1987,4.01,4.65,266.6,,,0,
Hale Irwin,1987,4.02,4.76,255.3,,,0,
Corey Pavin,1987,4.02,4.82,250.3,,,0,
Mike Reid,1987,4.01,4.77,247.9,,,0,
Richard Zokol,1987,4.02,4.74,256.1,,,0,
Larry Mize,1987,4.02,4.69,258.8,165.0,,72,
Dave Barr,1987,4.02,4.73,264.4,,,0,
Don Pooley,1987,4.02,4.7,256.0,,,0,
Fuzzy Zoeller,1987,4.02,4.71,263.4,,,0,
Larry Nelson,1987,4.03,4.75,259.0,,,0,
John Mahaffey,1987,4.02,4.74,264.6,,,0,
Scott Simpson,1987,4.02,4.72,250.9,,,0,
Jack Renner,1987,4.02,4.77,248.2,,,0,
Jay Haas,1987,4.02,4.75,257.7,185.0,2053-12-02,71,-66.0
Nick Price,1987,4.04,4.67,264.2,,,0,
T.C. Chen,1987,4.05,4.76,259.5,,,0,
Mark McCumber,1987,4.03,4.64,267.1,,,0,
Frank Conner,1987,4.06,4.78,260.9,,,0,
John Cook,1987,4.03,4.77,253.5,,,0,
Ed Dougherty,1987,4.04,4.74,266.3,,,0,
Raymond Floyd,1987,4.05,4.77,259.1,,,0,
Billy Pierot,1987,4.05,4.75,260.3,,,0,
Chip Beck,1987,4.03,4.65,262.6,,,0,
Ed Fiori,1987,4.04,4.7,252.9,,,0,
Dick Mast,1987,4.03,4.77,259.9,,,0,
Ken Brown,1987,4.05,4.76,256.3,,,0,
Danny Edwards,1987,4.04,4.74,257.7,,,0,
Calvin Peete,1987,4.05,4.81,249.6,,,0,
Mark Calcavecchia,1987,4.04,4.62,273.1,215.0,2060-06-12,72,-73.0
Bruce Lietzke,1987,4.05,4.68,264.8,,,0,
D.A. Weibring,1987,4.04,4.75,256.5,,,0,
Wayne Levi,1987,4.04,4.7,258.5,,,0,
David Edwards,1987,4.06,4.7,253.0,,,0,
Bob Tway,1987,4.05,4.7,264.2,,,0,
J.C. Snead,1987,4.05,4.77,261.6,,,0,
Curt Byrum,1987,4.04,4.69,272.8,,,0,
Mike Nicolette,1987,4.08,4.77,261.3,,,0,
Jay Don Blake,1987,4.04,4.69,275.2,,,0,
Jim Carter,1987,4.05,4.77,268.9,,,0,
Dave Rummells,1987,4.04,4.67,269.5,,,0,
Doug Tewell,1987,4.06,4.78,260.0,,,0,
Bobby Clampett,1987,4.05,4.75,264.2,,,0,
Tim Simpson,1987,4.04,4.71,261.0,,,0,
Dewey Arnette,1987,4.07,4.8,266.4,,,0,
Tom Purtzer,1987,4.05,4.63,269.0,,,0,
Chris Perry,1987,4.04,4.75,258.1,,,0,
Jodie Mudd,1987,4.05,4.69,273.3,,,0,
Jeff Sluman,1987,4.04,4.68,262.6,,,0,
Ron Streck,1987,4.05,4.75,257.6,,,0,
Ronnie Black,1987,4.05,4.65,265.2,,,0,
Sandy Lyle,1987,4.1,4.7,267.0,187.0,2058-02-09,72,-71.0
Ken Green,1987,4.06,4.66,266.8,,,0,
Roger Maltbie,1987,4.06,4.72,263.4,,,0,
Denis Watson,1987,4.06,4.75,265.2,,,0,
George Burns,1987,4.05,4.71,267.5,,,0,
Davis Love III,1987,4.06,4.63,281.5,175.0,,75,
Buddy Gardner,1987,4.05,4.72,264.1,,,0,
Robert Thompson,1987,4.07,4.83,253.3,,,0,
Rick Fehr,1987,4.1,4.82,254.9,,,0,
Russ Cochran,1987,4.05,4.73,270.5,,,0,
